Dataset,Column,Data Type,Non-Null Values,Null Values,Unique Values
Patients,Id,str,1171,0,1171
Patients,BIRTHDATE,str,1171,0,982
Patients,DEATHDATE,str,1171,0,172
Patients,SSN,str,1171,0,1170
Patients,DRIVERS,str,1171,0,953
Patients,PASSPORT,str,1171,0,899
Patients,PREFIX,str,1171,0,4
Patients,FIRST,str,1171,0,992
Patients,LAST,str,1171,0,490
Patients,SUFFIX,str,1171,0,4
Patients,MAIDEN,str,1171,0,261
Patients,MARITAL,str,1171,0,3
Patients,RACE,str,1171,0,5
Patients,ETHNICITY,str,1171,0,2
Patients,GENDER,str,1171,0,2
Patients,BIRTHPLACE,str,1171,0,293
Patients,ADDRESS,str,1171,0,1171
Patients,CITY,str,1171,0,237
Patients,STATE,str,1171,0,1
Patients,COUNTY,str,1171,0,14
Patients,ZIP,str,1171,0,210
Patients,LAT,float64,1171,0,1171
Patients,LON,float64,1171,0,1171
Patients,HEALTHCARE_EXPENSES,float64,1171,0,1171
Patients,HEALTHCARE_COVERAGE,float64,1171,0,1069
Encounters,Id,str,53346,0,53346
Encounters,START,str,53346,0,50029
Encounters,STOP,str,53346,0,52461
Encounters,PATIENT,str,53346,0,1171
Encounters,ORGANIZATION,str,53346,0,1103
Encounters,PROVIDER,str,53346,0,1104
Encounters,PAYER,str,53346,0,10
Encounters,ENCOUNTERCLASS,str,53346,0,6
Encounters,CODE,int64,53346,0,43
Encounters,DESCRIPTION,str,53346,0,50
Encounters,BASE_ENCOUNTER_COST,float64,53346,0,2
Encounters,TOTAL_CLAIM_COST,float64,53346,0,2
Encounters,PAYER_COVERAGE,float64,53346,0,15
Encounters,REASONCODE,float64,13777,39569,80
Encounters,REASONDESCRIPTION,str,13777,39569,80
Conditions,START,str,8376,0,5356
Conditions,STOP,str,4565,3811,2923
Conditions,PATIENT,str,8376,0,1152
Conditions,ENCOUNTER,str,8376,0,7650
Conditions,CODE,int64,8376,0,129
Conditions,DESCRIPTION,str,8376,0,129
Observations,DATE,str,299697,0,29074
Observations,PATIENT,str,299697,0,1171
Observations,ENCOUNTER,str,269334,30363,20030
Observations,CODE,str,299697,0,125
Observations,DESCRIPTION,str,299697,0,129
Observations,VALUE,str,299697,0,4822
Observations,UNITS,str,286962,12735,34
Observations,TYPE,str,299697,0,2
Medications,START,str,42989,0,25996
