Dataset,Column,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
Patients,LAT,42.11595607774517,42.448340525961946,0.3323844482167786,41.617379405419996,42.94691719828711,29,2.48
Patients,LON,-71.58053987612595,-71.01924640192479,0.5612934742011646,-72.4224800874277,-70.17730619062304,163,13.92
Patients,HEALTHCARE_EXPENSES,233551.555,1260843.74,1027292.185,-1307386.7225000001,2801782.0175,0,0.0
Patients,HEALTHCARE_COVERAGE,3101.02,10569.074999999999,7468.0549999999985,-8101.062499999996,21771.157499999994,101,8.63
Encounters,CODE,162673000.0,390906007.0,228233007.0,-179676510.5,733255517.5,0,0.0
Encounters,BASE_ENCOUNTER_COST,129.16,129.16,0.0,129.16,129.16,423,0.79
Encounters,TOTAL_CLAIM_COST,129.16,129.16,0.0,129.16,129.16,423,0.79
Encounters,PAYER_COVERAGE,17.49,89.16,71.67,-90.015,196.665,0,0.0
Encounters,REASONCODE,55822004.0,195967001.0,140144997.0,-154395491.5,406184496.5,1602,11.63
Conditions,CODE,53741008.0,283371005.0,229629997.0,-290703987.5,627816000.5,155,1.85
Medications,CODE,309362.0,865098.0,555736.0,-524242.0,1698702.0,3149,7.33
Medications,BASE_COST,65.76,263.49,197.73000000000002,-230.83500000000004,560.085,2976,6.92
Medications,PAYER_COVERAGE,0.0,188.49,188.49,-282.735,471.225,1710,3.98
Medications,DISPENSES,1.0,12.0,11.0,-15.5,28.5,776,1.81
Medications,TOTALCOST,263.49,3161.88,2898.3900000000003,-4084.095000000001,7509.465000000001,1031,2.4
Procedures,CODE,118001005.0,395123002.0,277121997.0,-297681990.5,810805997.5,342,0.98
Procedures,BASE_COST,516.65,6720.73,6204.08,-8789.47,16026.849999999999,2131,6.09
Procedures,REASONCODE,72892002.0,72892002.0,0.0,72892002.0,72892002.0,4859,25.0
Allergies,CODE,232347008.0,419474003.0,187126995.0,-48343484.5,700164495.5,8,1.34
Immunizations,CODE,113.0,140.0,27.0,72.5,180.5,3293,21.28
Immunizations,BASE_COST,140.52,140.52,0.0,140.52,140.52,0,0.0
Organizations,LAT,42.1242035,42.452752,0.3285484999999966,41.631380750000005,42.94557474999999,29,2.59
Organizations,LON,-71.54048900000001,-71.018253,0.5222360000000066,-72.32384300000001,-70.23489899999998,168,15.01
Organizations,REVENUE,3616.479999999999,8395.399999999994,4778.919999999995,-3551.899999999993,15563.779999999986,103,9.2
Organizations,UTILIZATION,28.0,69.0,41.0,-33.5,130.5,111,9.92
Payers,AMOUNT_COVERED,574450.6,2283703.81,1709253.21,-1989429.2149999999,4847583.625,0,0.0
Payers,AMOUNT_UNCOVERED,639397.5,1296196.525,656799.0249999999,-345801.03749999986,2281395.0625,1,10.0
Payers,REVENUE,10433062.5,142068150.0,131635087.5,-187019568.75,339520781.25,0,0.0
Payers,COVERED_ENCOUNTERS,7331.75,12869.25,5537.5,-974.5,21175.5,1,10.0
Payers,UNCOVERED_ENCOUNTERS,0.0,1942.75,1942.75,-2914.125,4856.875,2,20.0
Payers,COVERED_MEDICATIONS,0.0,4758.25,4758.25,-7137.375,11895.625,1,10.0
Payers,UNCOVERED_MEDICATIONS,0.0,4840.75,4840.75,-7261.125,12101.875,0,0.0
Payers,COVERED_PROCEDURES,3976.5,13444.75,9468.25,-10225.875,27647.125,1,10.0
Payers,UNCOVERED_PROCEDURES,0.0,831.75,831.75,-1247.625,2079.375,2,20.0
Payers,COVERED_IMMUNIZATIONS,3583.0,6974.5,3391.5,-1504.25,12061.75,0,0.0
Payers,UNCOVERED_IMMUNIZATIONS,0.0,163.0,163.0,-244.5,407.5,1,10.0
Payers,UNIQUE_CUSTOMERS,218.75,296.0,77.25,102.875,411.875,3,30.0
Payers,QOLS_AVG,0.8359166293552971,0.9317955216269789,0.09587889227168178,0.6920982909477744,1.0756138600345015,2,20.0
Payers,MEMBER_MONTHS,43851.0,75075.0,31224.0,-2985.0,121911.0,0,0.0
Providers,LAT,42.129251,42.488769,0.35951800000000134,41.589974,43.028046,59,1.01
Providers,LON,-71.336578,-71.01394599999999,0.3226320000000129,-71.82052600000003,-70.52999799999998,915,15.63
Providers,UTILIZATION,0.0,0.0,0.0,0.0,0.0,1120,19.13
Payer Transitions,START_YEAR,1966.0,1999.0,33.0,1916.5,2048.5,34,0.89
Payer Transitions,END_YEAR,1976.0,2006.0,30.0,1931.0,2051.0,16,0.42
Careplans,CODE,91251008.0,698360004.0,607108996.0,-819412486.0,1609023498.0,91,2.61
Careplans,REASONCODE,15777000.0,72892002.0,57115002.0,-69895503.0,158564505.0,589,18.66
Devices,CODE,72506001.0,705643001.0,633137000.0,-877199499.0,1655348501.0,0,0.0
Imaging Studies,BODYSITE_CODE,51185008.0,51299004.0,113996.0,51014014.0,51469998.0,340,39.77
