Dataset,Column,Count,Mean,Std,Minimum,25%,Median,75%,Maximum
Patients,LAT,1171,42.256374082984074,0.28880268154688554,41.33810923389566,42.11595607774517,42.30461724224198,42.448340525961946,42.8958460341558
Patients,LON,1171,-71.35981287674267,0.6297915350294903,-73.38205029321644,-71.58053987612595,-71.15216370274274,-71.01924640192479,-69.94076344148951
Patients,HEALTHCARE_EXPENSES,1171,764940.9021093083,546474.8679120617,1822.1600000000003,233551.555,718679.1,1260843.74,2145924.400000002
Patients,HEALTHCARE_COVERAGE,1171,12932.737480785656,43882.4810188378,0.0,3101.02,5741.799999999999,10569.074999999999,927873.5300000022
Encounters,CODE,53346,267585572.57698795,157128359.6123316,22298006.0,162673000.0,185347001.0,390906007.0,702927004.0
Encounters,BASE_ENCOUNTER_COST,53346,128.75028961871558,4.582822984081805,77.49,129.16,129.16,129.16,129.16
Encounters,TOTAL_CLAIM_COST,53346,128.75028961871558,4.582822984081805,77.49,129.16,129.16,129.16,129.16
Encounters,PAYER_COVERAGE,53346,61.998867206538435,43.61333482970059,0.0,17.49,69.16,89.16,129.16
Encounters,REASONCODE,13777,1248207351030.0183,12022870259997.328,6072007.0,55822004.0,72892002.0,195967001.0,124171000119105.0
Conditions,CODE,8376,1949885905490.6152,22195329124687.668,1734006.0,53741008.0,127013003.0,283371005.0,368581000119106.0
Medications,CODE,42989,644175.0059317499,492350.4232035267,105078.0,309362.0,583214.0,865098.0,2123111.0
Medications,BASE_COST,42989,320.4415008490544,772.8377190239834,0.99,65.76,263.49,263.49,7015.8
Medications,PAYER_COVERAGE,42989,146.69407825257625,629.3663960946718,0.0,0.0,0.0,188.49,6951.62
Medications,DISPENSES,42989,10.518481472004467,40.4109705128314,1.0,1.0,5.0,12.0,885.0
Medications,TOTALCOST,42989,2328.6519902765826,12591.05157764756,0.99,263.49,526.98,3161.88,1296594.95
Procedures,CODE,34981,153188692089470.22,1574348572930677.5,1225002.0,118001005.0,265764009.0,395123002.0,1.6335031000119104e+16
Procedures,BASE_COST,34981,4930.762254080788,7014.678136122906,262.73,516.65,2337.58,6720.73,187968.69
Procedures,REASONCODE,19437,111736435724.6659,2749243982466.2837,10509002.0,72892002.0,72892002.0,72892002.0,67811000119102.0
Allergies,CODE,597,325835494.9447236,125321591.14262147,91930004.0,232347008.0,417532002.0,419474003.0,714035009.0
Immunizations,CODE,15478,112.32064866261791,45.1656579242132,3.0,113.0,140.0,140.0,140.0
Immunizations,BASE_COST,15478,140.52000000000004,2.8422627607387576e-14,140.52,140.52,140.52,140.52,140.52
Organizations,LAT,1119,42.262604516800714,0.28583544180515313,41.293416,42.1242035,42.323853,42.452752,42.851284
Organizations,LON,1119,-71.3513161523682,0.6180969847450746,-73.361473,-71.54048900000001,-71.144319,-71.018253,-69.969034
Organizations,REVENUE,1119,15496.285067024117,47753.17648427009,0.0,3616.479999999999,5295.559999999997,8395.399999999994,595246.7699999721
Organizations,UTILIZATION,1119,127.00446827524576,381.5643079339839,1.0,28.0,43.0,69.0,4828.0
Payers,AMOUNT_COVERED,10,1514410.2269999997,1617461.6483733414,0.0,574450.6,856708.22,2283703.81,4756720.13
Payers,AMOUNT_UNCOVERED,10,1758077.137,2983333.1005794434,119449.83,639397.5,824290.7150000001,1296196.525,10129408.9
Payers,REVENUE,10,87811405.0,70229707.73200236,0.0,10433062.5,129576100.0,142068150.0,154184100.0
Payers,COVERED_ENCOUNTERS,10,10980.2,7693.904019850174,0.0,7331.75,11727.5,12869.25,26878.0
Payers,UNCOVERED_ENCOUNTERS,10,2491.8,3479.6678257813314,0.0,0.0,1770.5,1942.75,10116.0
Payers,COVERED_MEDICATIONS,10,2656.8,4592.921118416906,0.0,0.0,0.0,4758.25,13471.0
Payers,UNCOVERED_MEDICATIONS,10,2785.7,2441.201846541075,0.0,0.0,3978.0,4840.75,5465.0
Payers,COVERED_PROCEDURES,10,12472.0,13610.630191957396,0.0,3976.5,12444.0,13444.75,47611.0
Payers,UNCOVERED_PROCEDURES,10,2120.8,3778.0172283590473,0.0,0.0,571.0,831.75,10142.0
Payers,COVERED_IMMUNIZATIONS,10,5134.3,2991.1125039207586,0.0,3583.0,6673.0,6974.5,7520.0
Payers,UNCOVERED_IMMUNIZATIONS,10,447.0,1126.3660348414473,0.0,0.0,153.5,163.0,3644.0
Payers,UNIQUE_CUSTOMERS,10,257.5,130.0420872042757,25.0,218.75,284.0,296.0,507.0
Payers,QOLS_AVG,10,0.8638050292719658,0.19864575278161486,0.36280967419034615,0.8359166293552971,0.9197785049267546,0.9317955216269789,1.1345177799039279
Payers,MEMBER_MONTHS,10,59223.6,26749.800178692924,3348.0,43851.0,70806.0,75075.0,84276.0
Providers,LAT,5855,42.296193949325364,0.2991688787695322,41.293416,42.129251,42.360427,42.488769,42.851284
Providers,LON,5855,-71.27284378420154,0.546359922820711,-73.361473,-71.336578,-71.109329,-71.01394599999999,-69.969034
Providers,UTILIZATION,5855,24.272929120409906,174.06578492609654,0.0,0.0,0.0,0.0,4828.0
Payer Transitions,START_YEAR,3801,1981.1265456458827,22.953064991666494,1909.0,1966.0,1984.0,1999.0,2020.0
Payer Transitions,END_YEAR,3801,1988.659300184162,21.30291426652633,1909.0,1976.0,1991.0,2006.0,2020.0
Careplans,CODE,3483,22345806294670.15,136547348008293.64,47387005.0,91251008.0,384758001.0,698360004.0,869761000000107.0
